NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HMOX1	77	5.353061676025391	0.13710383	Yes	
row_1	NQO1	812	3.806170701980591	0.18190055	Yes	
row_2	IKBKG	829	3.7806899547576904	0.28170967	Yes	
row_3	KEAP1	1053	3.5047454833984375	0.35808688	Yes	
row_4	RXRA	1551	2.955578088760376	0.39853248	Yes	
row_5	GCLM	1643	2.8630940914154053	0.46799856	Yes	
row_6	NFE2L2	1807	2.6988494396209717	0.5274899	Yes	
row_7	GUCY1A2	2454	2.1326355934143066	0.53438234	Yes	
row_8	RELA	2667	1.9267332553863525	0.5694357	Yes	
row_9	NFKBIA	2893	1.7218260765075684	0.5980039	Yes	
row_10	GCLC	3169	1.4995678663253784	0.61675334	Yes	
row_11	NFKB1	4416	0.6207912564277649	0.53669673	No	
row_12	CCL2	5312	0.1447279006242752	0.4711421	No	
row_13	PRKG2	5619	0.03235350176692009	0.44827121	No	
row_14	SLC7A11	6992	-0.5784222483634949	0.3573087	No	
row_15	IRF3	7883	-1.151222825050354	0.31904346	No	
row_16	CHUK	9912	-2.6435000896453857	0.23239203	No	
