NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TBX19	169	5.012918472290039	0.11005302	Yes	
row_1	TBX2	491	4.326730728149414	0.19145374	Yes	
row_2	RBPJ	555	4.202770709991455	0.2898259	Yes	
row_3	SMAD4	1046	3.507274866104126	0.33798102	Yes	
row_4	NRP1	1347	3.1497838497161865	0.39209402	Yes	
row_5	APC	1584	2.9261538982391357	0.44567803	Yes	
row_6	TBX3	1745	2.755592107772827	0.50096786	Yes	
row_7	DLL1	2182	2.3582513332366943	0.5250817	Yes	
row_8	EOMES	2196	2.350369691848755	0.5818205	Yes	
row_9	PAX2	2891	1.7222182750701904	0.5702902	Yes	
row_10	TBX18	2997	1.6364233493804932	0.6023499	Yes	
row_11	FOXA2	3364	1.3364837169647217	0.6067903	Yes	
row_12	MGA	3884	0.9704664945602417	0.5903673	No	
row_13	GLI2	4001	0.8911834955215454	0.6032633	No	
row_14	TBX1	4962	0.30962371826171875	0.5363885	No	
row_15	SHH	5468	0.08472561836242676	0.49928948	No	
row_16	APC2	6652	-0.3992384672164917	0.41731492	No	
row_17	TBX15	6663	-0.4063026010990143	0.42652172	No	
row_18	SOX9	7903	-1.1633813381195068	0.35897693	No	
row_19	MNX1	7951	-1.1909520626068115	0.38459152	No	
