NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XRCC5	451	4.402103900909424	-0.01844651	No	
row_1	TDG	921	3.655062437057495	-0.041132644	No	
row_2	RAD50	1091	3.449713706970215	-0.041210268	No	
row_3	RBX1	1202	3.301720380783081	-0.03725011	No	
row_4	POLM	1228	3.274944305419922	-0.02676497	No	
row_5	NBN	1523	2.981679916381836	-0.03836467	No	
row_6	CETN2	2108	2.4146134853363037	-0.07472595	No	
row_7	GTF2H5	2527	2.0610907077789307	-0.099488005	No	
row_8	HMGB1	2705	1.8858288526535034	-0.106126994	No	
row_9	CDK7	2825	1.7669456005096436	-0.10869565	No	
row_10	PNKP	3409	1.3047010898590088	-0.14919302	No	
row_11	NHEJ1	4287	0.698523223400116	-0.21491231	No	
row_12	APEX1	4300	0.6907027959823608	-0.21322541	No	
row_13	H2AX	4784	0.39548036456108093	-0.24937882	No	
row_14	POLD4	4791	0.3924431800842285	-0.24835657	No	
row_15	ERCC5	5320	0.13922087848186493	-0.28899115	No	
row_16	MGMT	6368	-0.24992549419403076	-0.36966693	No	
row_17	XPC	6400	-0.264352411031723	-0.37108004	No	
row_18	APEX2	6487	-0.30619707703590393	-0.3766221	No	
row_19	MUTYH	6541	-0.3473818600177765	-0.3794351	No	
row_20	NEIL3	6686	-0.41367778182029724	-0.38909078	No	
row_21	MNAT1	7039	-0.6023632884025574	-0.41424587	No	
row_22	WDR48	7375	-0.8007745146751404	-0.43732232	No	
row_23	REV1	7666	-1.000707983970642	-0.45613143	No	
row_24	POLE4	7771	-1.0760794878005981	-0.46015373	No	
row_25	POLI	7792	-1.0871262550354004	-0.45758536	No	
row_26	CENPX	7939	-1.1852651834487915	-0.46446747	No	
row_27	RAD51C	8005	-1.230568766593933	-0.46486273	No	
row_28	FANCC	8367	-1.4663832187652588	-0.487439	No	
row_29	GTF2H2	8436	-1.5260964632034302	-0.4869461	No	
row_30	CENPS	8536	-1.6154518127441406	-0.48853073	No	
row_31	POLK	8752	-1.7873917818069458	-0.49850595	No	
row_32	CHEK1	8833	-1.8399909734725952	-0.4977568	No	
row_33	BRCA2	8926	-1.9196083545684814	-0.4976409	No	
row_34	RFC3	9057	-2.006896734237671	-0.5001561	No	
row_35	GTF2H3	9341	-2.2233896255493164	-0.51377726	No	
row_36	PALB2	9770	-2.5289392471313477	-0.53754264	No	
row_37	RPA3	9801	-2.548976182937622	-0.5302036	No	
row_38	RAP1A	9989	-2.713106632232666	-0.5344812	No	
row_39	FAAP24	10007	-2.732921838760376	-0.5254303	No	
row_40	ERCC1	10391	-3.040890693664551	-0.5437437	Yes	
row_41	MPG	10536	-3.155984878540039	-0.5429875	Yes	
row_42	RAD52	10585	-3.2039177417755127	-0.53456515	Yes	
row_43	FANCM	10592	-3.2074780464172363	-0.5228549	Yes	
row_44	MBD4	10817	-3.4112157821655273	-0.5273666	Yes	
row_45	POLD3	10910	-3.5008294582366943	-0.52124715	Yes	
row_46	WRN	10945	-3.5281710624694824	-0.5105022	Yes	
row_47	NEIL2	11130	-3.6871402263641357	-0.5108478	Yes	
row_48	RAD54B	11324	-3.877023696899414	-0.5111741	Yes	
row_49	XPA	11336	-3.885021448135376	-0.49728116	Yes	
row_50	DDB2	11348	-3.890813112258911	-0.48336628	Yes	
row_51	MSH2	11420	-3.9595658779144287	-0.47386798	Yes	
row_52	ATM	11516	-4.048854827880859	-0.46590173	Yes	
row_53	ATR	11533	-4.0613298416137695	-0.45172924	Yes	
row_54	SMUG1	11675	-4.2119832038879395	-0.44672984	Yes	
row_55	RPA1	11901	-4.452695846557617	-0.44736516	Yes	
row_56	PRKDC	11955	-4.4955973625183105	-0.4344284	Yes	
row_57	DDB1	12125	-4.687552452087402	-0.42980626	Yes	
row_58	FANCA	12231	-4.811092376708984	-0.4197256	Yes	
row_59	OGG1	12275	-4.873013019561768	-0.40457627	Yes	
row_60	MSH6	12292	-4.902645587921143	-0.3872095	Yes	
row_61	CCNH	12345	-4.973663330078125	-0.3723797	Yes	
row_62	FANCL	12379	-5.02576208114624	-0.3558708	Yes	
row_63	BRIP1	12418	-5.077370643615723	-0.3395558	Yes	
row_64	FAN1	12439	-5.102444648742676	-0.32174227	Yes	
row_65	POLE2	12472	-5.153558254241943	-0.3046702	Yes	
row_66	RAD51	12482	-5.167164325714111	-0.28575343	Yes	
row_67	ERCC2	12494	-5.194418430328369	-0.26688907	Yes	
row_68	POLD2	12519	-5.212530136108398	-0.24896944	Yes	
row_69	POLE	12537	-5.235205173492432	-0.23041798	Yes	
row_70	LIG1	12548	-5.256746292114258	-0.21123902	Yes	
row_71	UNG	12591	-5.318060874938965	-0.194322	Yes	
row_72	USP1	12592	-5.319691181182861	-0.17412445	Yes	
row_73	PARP2	12663	-5.453294277191162	-0.15887688	Yes	
row_74	MSH3	12745	-5.62000036239624	-0.14385393	Yes	
row_75	RFC2	12777	-5.753368854522705	-0.124426596	Yes	
row_76	RFC4	12782	-5.753368854522705	-0.10289431	Yes	
row_77	BRCA1	12794	-5.769613742828369	-0.08184609	Yes	
row_78	PCNA	12816	-5.828091144561768	-0.061355434	Yes	
row_79	LIG3	12836	-5.8594970703125	-0.040589623	Yes	
row_80	FANCD2	12870	-6.043949604034424	-0.020214941	Yes	
row_81	RFC1	12889	-6.084025859832764	0.001481311	Yes	
