NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ORC3	4129	0.7967488169670105	-0.31412756	No	
row_1	POLD4	4791	0.3924431800842285	-0.36226365	No	
row_2	ORC6	5798	-0.020619891583919525	-0.4402078	No	
row_3	DBF4	8001	-1.228139877319336	-0.6012078	No	
row_4	PRIM2	8647	-1.7051503658294678	-0.63743865	No	
row_5	RFC3	9057	-2.006896734237671	-0.652894	No	
row_6	GMNN	9755	-2.520202398300171	-0.68654186	No	
row_7	RPA3	9801	-2.548976182937622	-0.66933095	No	
row_8	UBC	10508	-3.13344144821167	-0.6986964	No	
row_9	POLD3	10910	-3.5008294582366943	-0.7013956	Yes	
row_10	CDT1	11289	-3.8313488960266113	-0.6996241	Yes	
row_11	CDK2	11670	-4.209268569946289	-0.69493824	Yes	
row_12	RPA1	11901	-4.452695846557617	-0.6766281	Yes	
row_13	ORC2	12032	-4.565455436706543	-0.6496375	Yes	
row_14	MCM10	12149	-4.722092151641846	-0.6202875	Yes	
row_15	PRIM1	12392	-5.043034553527832	-0.5981139	Yes	
row_16	POLE2	12472	-5.153558254241943	-0.5623863	Yes	
row_17	POLD2	12519	-5.212530136108398	-0.5236173	Yes	
row_18	POLE	12537	-5.235205173492432	-0.48241246	Yes	
row_19	POLA2	12564	-5.284937858581543	-0.44150242	Yes	
row_20	MCM2	12689	-5.4939045906066895	-0.40650424	Yes	
row_21	MCM5	12692	-5.4939045906066895	-0.3620333	Yes	
row_22	MCM6	12710	-5.525964260101318	-0.31846663	Yes	
row_23	MCM7	12758	-5.689731597900391	-0.27589908	Yes	
row_24	RFC2	12777	-5.753368854522705	-0.23056288	Yes	
row_25	RFC4	12782	-5.753368854522705	-0.18413964	Yes	
row_26	PCNA	12816	-5.828091144561768	-0.13936117	Yes	
row_27	POLA1	12845	-5.875387191772461	-0.09381028	Yes	
row_28	CDC6	12877	-6.047975063323975	-0.047090434	Yes	
row_29	RFC1	12889	-6.084025859832764	0.0014751706	Yes	
