NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RAD50	1091	3.449713706970215	-0.04660102	No	
row_1	NBN	1523	2.981679916381836	-0.047157243	No	
row_2	DCLRE1B	8225	-1.3653157949447632	-0.5520007	No	
row_3	GINS1	8296	-1.4165765047073364	-0.5418091	No	
row_4	RFC3	9057	-2.006896734237671	-0.5786413	No	
row_5	POLD3	10910	-3.5008294582366943	-0.6837212	No	
row_6	MRE11	11327	-3.8794665336608887	-0.67321247	No	
row_7	TERT	12181	-4.765167713165283	-0.6868408	Yes	
row_8	POLD2	12519	-5.212530136108398	-0.65550125	Yes	
row_9	POLE	12537	-5.235205173492432	-0.5990843	Yes	
row_10	LIG1	12548	-5.256746292114258	-0.5418867	Yes	
row_11	MCM3	12668	-5.459001541137695	-0.49091536	Yes	
row_12	POLE3	12747	-5.62000036239624	-0.43498746	Yes	
row_13	MCM7	12758	-5.689731597900391	-0.3730147	Yes	
row_14	MCM4	12759	-5.689731597900391	-0.3102661	Yes	
row_15	RFC4	12782	-5.753368854522705	-0.24852256	Yes	
row_16	PCNA	12816	-5.828091144561768	-0.18680839	Yes	
row_17	DNA2	12822	-5.830085277557373	-0.12289985	Yes	
row_18	LIG3	12836	-5.8594970703125	-0.05928762	Yes	
row_19	POLA1	12845	-5.875387191772461	0.0048877816	Yes	
