NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RPA2	1808	2.697705030441284	-0.12161294	No	
row_1	POLD4	4791	0.3924431800842285	-0.35045484	No	
row_2	GINS1	8296	-1.4165765047073364	-0.6126999	No	
row_3	PRIM2	8647	-1.7051503658294678	-0.6280019	No	
row_4	RFC3	9057	-2.006896734237671	-0.6457838	No	
row_5	RPA3	9801	-2.548976182937622	-0.6857272	No	
row_6	GINS3	10161	-2.8618924617767334	-0.69367015	No	
row_7	RFC5	10660	-3.2588202953338623	-0.7096426	Yes	
row_8	POLD3	10910	-3.5008294582366943	-0.7045923	Yes	
row_9	FEN1	11180	-3.729623556137085	-0.6995014	Yes	
row_10	GINS4	11433	-3.9722516536712646	-0.6914002	Yes	
row_11	RPA1	11901	-4.452695846557617	-0.69664854	Yes	
row_12	POLD1	12366	-5.004165172576904	-0.69782233	Yes	
row_13	PRIM1	12392	-5.043034553527832	-0.66463363	Yes	
row_14	MCM8	12421	-5.0859479904174805	-0.6313789	Yes	
row_15	POLD2	12519	-5.212530136108398	-0.6026008	Yes	
row_16	LIG1	12548	-5.256746292114258	-0.5681563	Yes	
row_17	POLA2	12564	-5.284937858581543	-0.53250587	Yes	
row_18	MCM3	12668	-5.459001541137695	-0.5024768	Yes	
row_19	MCM2	12689	-5.4939045906066895	-0.46575898	Yes	
row_20	MCM5	12692	-5.4939045906066895	-0.42764333	Yes	
row_21	MCM6	12710	-5.525964260101318	-0.3904692	Yes	
row_22	GINS2	12743	-5.6177825927734375	-0.35382032	Yes	
row_23	MCM7	12758	-5.689731597900391	-0.3152724	Yes	
row_24	MCM4	12759	-5.689731597900391	-0.27563727	Yes	
row_25	RFC2	12777	-5.753368854522705	-0.23687902	Yes	
row_26	RFC4	12782	-5.753368854522705	-0.19711122	Yes	
row_27	PCNA	12816	-5.828091144561768	-0.15907498	Yes	
row_28	DNA2	12822	-5.830085277557373	-0.11885042	Yes	
row_29	POLA1	12845	-5.875387191772461	-0.07963047	Yes	
row_30	CDC45	12864	-6.027185440063477	-0.039042454	Yes	
row_31	RFC1	12889	-6.084025859832764	0.0014755682	Yes	
