NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	VPS4B	15	5.830085277557373	0.06410262	Yes	
row_1	CHMP4B	103	5.235205173492432	0.11595112	Yes	
row_2	CHMP2B	175	5.005361080169678	0.16646971	Yes	
row_3	VTA1	299	4.712082862854004	0.20966463	Yes	
row_4	UBAP1	341	4.596306324005127	0.2579348	Yes	
row_5	STAM	932	3.6435022354125977	0.252881	Yes	
row_6	LAPTM4B	1036	3.519695520401001	0.28428105	Yes	
row_7	TMEM50B	1055	3.5046679973602295	0.3221174	Yes	
row_8	VPS36	1213	3.2906649112701416	0.34675765	Yes	
row_9	RILP	1296	3.206273317337036	0.37628067	Yes	
row_10	VPS37B	1454	3.0451931953430176	0.39817286	Yes	
row_11	CHMP2A	1456	3.043292760848999	0.43216497	Yes	
row_12	CHMP1A	1573	2.9324939250946045	0.4559812	Yes	
row_13	TMEM50A	1650	2.8562583923339844	0.48205197	Yes	
row_14	VPS25	1777	2.7240822315216064	0.502758	Yes	
row_15	SNF8	3095	1.5600638389587402	0.417892	No	
row_16	CHMP4C	3113	1.5476553440093994	0.4338972	No	
row_17	VPS37D	3151	1.5131837129592896	0.44796246	No	
row_18	VPS37C	3337	1.3564503192901611	0.44877347	No	
row_19	VPS28	3724	1.081207275390625	0.43088543	No	
row_20	CHMP7	3773	1.0483914613723755	0.43889263	No	
row_21	CHMP5	4494	0.5721878409385681	0.38935426	No	
row_22	PTPN23	4848	0.36834827065467834	0.3660498	No	
row_23	CHMP3	5509	0.07197032868862152	0.31557345	No	
row_24	LYST	5894	-0.056311581283807755	0.28636703	No	
row_25	HGS	6107	-0.13884079456329346	0.27144897	No	
row_26	UBXN6	6189	-0.16784505546092987	0.2670343	No	
row_27	LEPROT	6517	-0.33282577991485596	0.24535236	No	
row_28	CHMP1B	6565	-0.35821568965911865	0.2457107	No	
row_29	CHMP4A	7487	-0.8788725137710571	0.18398796	No	
row_30	VPS37A	7983	-1.2149862051010132	0.15912826	No	
row_31	CHMP6	8336	-1.4433495998382568	0.14793621	No	
row_32	MVB12A	8535	-1.6144182682037354	0.1506251	No	
row_33	TSG101	8868	-1.874434471130371	0.14581306	No	
row_34	STAM2	8997	-1.965783715248108	0.15787451	No	
row_35	VPS4A	9280	-2.177431106567383	0.16033955	No	
row_36	DENND10	10610	-3.2188894748687744	0.0931118	No	
row_37	VCP	11071	-3.64400315284729	0.09816457	No	
row_38	SORT1	11439	-3.9743237495422363	0.11414141	No	
