NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DYRK1A	2213	2.3400204181671143	-0.14434163	No	
row_1	MAX	3019	1.6210827827453613	-0.18782102	No	
row_2	MYC	3064	1.5851958990097046	-0.17265104	No	
row_3	LIN54	3289	1.3944082260131836	-0.17368983	No	
row_4	LIN37	4495	0.5721656084060669	-0.2605157	No	
row_5	E2F4	4628	0.48711419105529785	-0.26505068	No	
row_6	LIN9	6221	-0.1844361126422882	-0.386462	No	
row_7	CCNA2	6459	-0.29078248143196106	-0.4014491	No	
row_8	HDAC1	7643	-0.9871871471405029	-0.48170146	No	
row_9	LIN52	8400	-1.4967381954193115	-0.5228352	No	
row_10	E2F5	9016	-1.98039710521698	-0.54735374	No	
row_11	CCNE1	10237	-2.917837142944336	-0.60784256	No	
row_12	TFDP2	11246	-3.7906792163848877	-0.64164215	Yes	
row_13	CDC25A	11332	-3.881962776184082	-0.60272664	Yes	
row_14	CDK2	11670	-4.209268569946289	-0.5795344	Yes	
row_15	RBL2	11762	-4.3061323165893555	-0.5361116	Yes	
row_16	CDK1	11769	-4.319167137145996	-0.48593804	Yes	
row_17	TOP2A	12055	-4.5948333740234375	-0.454189	Yes	
row_18	RBBP4	12193	-4.771766662597656	-0.40887752	Yes	
row_19	CCNE2	12423	-5.086081504821777	-0.3670221	Yes	
row_20	TFDP1	12556	-5.268272399902344	-0.31550133	Yes	
row_21	MYBL2	12697	-5.4939045906066895	-0.26195613	Yes	
row_22	RBL1	12776	-5.753368854522705	-0.20055637	Yes	
row_23	PCNA	12816	-5.828091144561768	-0.13525328	Yes	
row_24	CDC6	12877	-6.047975063323975	-0.06900227	Yes	
row_25	E2F1	12887	-6.084025859832764	0.0016301151	Yes	
