NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LIN54	3289	1.3944082260131836	-0.2408323	No	
row_1	LIN37	4495	0.5721656084060669	-0.32843	No	
row_2	E2F4	4628	0.48711419105529785	-0.33361667	No	
row_3	E2F6	5707	0.0035036050248891115	-0.41726294	No	
row_4	LIN9	6221	-0.1844361126422882	-0.45517	No	
row_5	FBXO5	7347	-0.7832350730895996	-0.5343649	No	
row_6	HDAC1	7643	-0.9871871471405029	-0.54701006	No	
row_7	LIN52	8400	-1.4967381954193115	-0.59014845	No	
row_8	ORC1	8668	-1.7222011089324951	-0.5929847	No	
row_9	E2F5	9016	-1.98039710521698	-0.599349	No	
row_10	CCNE1	10237	-2.917837142944336	-0.6637441	No	
row_11	TFDP2	11246	-3.7906792163848877	-0.702615	Yes	
row_12	CDT1	11289	-3.8313488960266113	-0.6660751	Yes	
row_13	RBL2	11762	-4.3061323165893555	-0.65798295	Yes	
row_14	CDK1	11769	-4.319167137145996	-0.61358094	Yes	
row_15	RBBP4	12193	-4.771766662597656	-0.5968481	Yes	
row_16	TYMS	12206	-4.775887966156006	-0.54816735	Yes	
row_17	TFDP1	12556	-5.268272399902344	-0.52053225	Yes	
row_18	TK1	12641	-5.412876129150391	-0.47082368	Yes	
row_19	RRM2	12755	-5.642477035522461	-0.4209812	Yes	
row_20	RBL1	12776	-5.753368854522705	-0.36276737	Yes	
row_21	PCNA	12816	-5.828091144561768	-0.30525228	Yes	
row_22	POLA1	12845	-5.875387191772461	-0.24639194	Yes	
row_23	DHFR	12860	-6.00045919418335	-0.18514557	Yes	
row_24	CDC45	12864	-6.027185440063477	-0.122767664	Yes	
row_25	CDC6	12877	-6.047975063323975	-0.060872436	Yes	
row_26	E2F1	12887	-6.084025859832764	0.0016301709	Yes	
