NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CSGALNACT2	10	5.889894962310791	0.11277153	Yes	
row_1	UGDH	802	3.8198561668395996	0.12499932	Yes	
row_2	CHPF2	884	3.7015576362609863	0.19007072	Yes	
row_3	CHSY1	1423	3.069746255874634	0.20748042	Yes	
row_4	HAS3	1512	2.9937992095947266	0.25836387	Yes	
row_5	EXT1	1550	2.9599804878234863	0.312555	Yes	
row_6	CHST15	1555	2.9474704265594482	0.369067	Yes	
row_7	SLC35B2	1580	2.9272961616516113	0.42363733	Yes	
row_8	CHPF	1943	2.5678038597106934	0.44503498	Yes	
row_9	GCNT2	2160	2.375793695449829	0.47406635	Yes	
row_10	HS3ST1	2173	2.368875741958618	0.5188029	Yes	
row_11	DSEL	2452	2.133854627609253	0.5383564	Yes	
row_12	DSE	3688	1.1109544038772583	0.46388876	No	
row_13	CEMIP	4147	0.7848221063613892	0.4434599	No	
row_14	CHST3	4154	0.7814174890518188	0.45805857	No	
row_15	B3GAT3	4684	0.4533527195453644	0.42572707	No	
row_16	CHST12	5010	0.28298187255859375	0.4059496	No	
row_17	ABCC5	5074	0.2561781108379364	0.405997	No	
row_18	HAS2	5224	0.18165551126003265	0.3979307	No	
row_19	PXYLP1	5704	0.00420560734346509	0.36082235	No	
row_20	EXT2	6653	-0.39977696537971497	0.29492694	No	
row_21	CHST11	6788	-0.4696809947490692	0.2935779	No	
row_22	CHST14	7154	-0.6704046726226807	0.27816376	No	
row_23	B4GALT7	7433	-0.8452000617980957	0.27287403	No	
row_24	B3GALT6	7467	-0.8669314980506897	0.287025	No	
row_25	CSGALNACT1	7890	-1.1570119857788086	0.27656642	No	
row_26	XYLT2	7947	-1.1893764734268188	0.2951479	No	
row_27	CHST7	9108	-2.0467123985290527	0.24454318	No	
row_28	HEXA	9877	-2.614854097366333	0.23532613	No	
