NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HUS1	13	5.832881927490234	0.01174336	No	
row_1	NUDT21	87	5.307705879211426	0.017632825	No	
row_2	HMGB3	102	5.23853063583374	0.027997293	No	
row_3	EIF2S1	364	4.55922794342041	0.01750741	No	
row_4	RAD50	1091	3.449713706970215	-0.031872172	No	
row_5	ASF1A	1093	3.4450390338897705	-0.024412613	No	
row_6	SNRPB	1388	3.1091177463531494	-0.04066306	No	
row_7	CDKN1B	1413	3.0828497409820557	-0.035799492	No	
row_8	NBN	1523	2.981679916381836	-0.037822388	No	
row_9	PPP1R8	1732	2.7652289867401123	-0.048081774	No	
row_10	CKS2	1756	2.746450901031494	-0.04387586	No	
row_11	CTCF	2045	2.4812071323394775	-0.061029736	No	
row_12	PHF5A	2086	2.437277317047119	-0.058833327	No	
row_13	BRMS1L	2302	2.2755849361419678	-0.070712976	No	
row_14	KIF18B	2461	2.1227610111236572	-0.07845748	No	
row_15	JPT1	2500	2.0887436866760254	-0.076866865	No	
row_16	SMC1A	2519	2.064387559890747	-0.07376128	No	
row_17	LYAR	2531	2.058915376663208	-0.07011878	No	
row_18	KPNA2	2636	1.9586988687515259	-0.07398796	No	
row_19	WEE1	2960	1.6667792797088623	-0.095668316	No	
row_20	MYC	3064	1.5851958990097046	-0.10027633	No	
row_21	BIRC5	3221	1.4521046876907349	-0.109331444	No	
row_22	RANBP1	3451	1.2733702659606934	-0.12450179	No	
row_23	WDR90	3497	1.2396806478500366	-0.12531787	No	
row_24	PLK1	3936	0.9327645301818848	-0.15762177	No	
row_25	HMGB2	4000	0.8921297192573547	-0.16060975	No	
row_26	POP7	4168	0.7714172005653381	-0.1720168	No	
row_27	CCNB2	4390	0.6357966661453247	-0.18795489	No	
row_28	DEPDC1	4537	0.5483928322792053	-0.19820327	No	
row_29	MTHFD2	4751	0.4184935390949249	-0.21398953	No	
row_30	H2AX	4784	0.39548036456108093	-0.21563339	No	
row_31	ANP32E	4878	0.35202375054359436	-0.22215554	No	
row_32	HMGA1	5001	0.28685644268989563	-0.23109426	No	
row_33	NUP153	5059	0.2612925171852112	-0.23499207	No	
row_34	HNRNPD	5179	0.19811323285102844	-0.24388973	No	
row_35	NOLC1	5420	0.09910330176353455	-0.26249197	No	
row_36	SUV39H1	5542	0.06000569090247154	-0.27184865	No	
row_37	NAA38	5546	0.05906416475772858	-0.27195466	No	
row_38	PNN	5583	0.0418829545378685	-0.2746859	No	
row_39	PPM1D	5638	0.025281772017478943	-0.27886486	No	
row_40	MKI67	5792	-0.019221505150198936	-0.29081997	No	
row_41	ORC6	5798	-0.020619891583919525	-0.29116693	No	
row_42	PA2G4	6121	-0.1472310721874237	-0.31609374	No	
row_43	ZW10	6250	-0.19785204529762268	-0.32569766	No	
row_44	UBE2S	6443	-0.28195425868034363	-0.34013602	No	
row_45	TUBB	6479	-0.3006855845451355	-0.34222254	No	
row_46	PTTG1	6505	-0.31993919610977173	-0.34348282	No	
row_47	TRA2B	6525	-0.33778244256973267	-0.34423357	No	
row_48	CDCA8	6718	-0.42827776074409485	-0.35835177	No	
row_49	SMC3	6720	-0.42919304966926575	-0.35749108	No	
row_50	RAD1	6730	-0.4341945946216583	-0.35724676	No	
row_51	H2AZ1	6816	-0.4841998517513275	-0.3628524	No	
row_52	DUT	7055	-0.6111226677894592	-0.38017747	No	
row_53	CKS1B	7178	-0.6833860874176025	-0.38824856	No	
row_54	TACC3	7197	-0.6935055255889893	-0.38814256	No	
row_55	DLGAP5	7366	-0.7969557642936707	-0.39957213	No	
row_56	DCTPP1	7417	-0.835936963558197	-0.4016637	No	
row_57	UBR7	7453	-0.8562719225883484	-0.40253457	No	
row_58	POLE4	7771	-1.0760794878005981	-0.42503694	No	
row_59	RAD51C	8005	-1.230568766593933	-0.44061458	No	
row_60	MAD2L1	8008	-1.2307254076004028	-0.4380785	No	
row_61	ILF3	8029	-1.2428134679794312	-0.4369274	No	
row_62	DCLRE1B	8225	-1.3653157949447632	-0.44923052	No	
row_63	GINS1	8296	-1.4165765047073364	-0.45161986	No	
row_64	RAN	8598	-1.6687123775482178	-0.4715709	No	
row_65	CDCA3	8601	-1.6699403524398804	-0.4680738	No	
row_66	CDKN1A	8604	-1.6718418598175049	-0.46457252	No	
row_67	NUP107	8633	-1.6946940422058105	-0.46305996	No	
row_68	PRIM2	8647	-1.7051503658294678	-0.46034837	No	
row_69	CHEK1	8833	-1.8399909734725952	-0.47082874	No	
