NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	F2RL1	3	6.084025859832764	0.03433448	Yes	
row_1	PRELID3B	225	4.883440971374512	0.044856034	Yes	
row_2	TRIB1	242	4.852835655212402	0.07118187	Yes	
row_3	SPRY2	248	4.834933280944824	0.09826335	Yes	
row_4	MALL	272	4.772289276123047	0.12358595	Yes	
row_5	EMP1	300	4.707306861877441	0.14822754	Yes	
row_6	TRIB2	326	4.655169486999512	0.1727288	Yes	
row_7	ADAM8	471	4.362879753112793	0.18629418	Yes	
row_8	LIF	475	4.361466407775879	0.2108414	Yes	
row_9	ETV5	514	4.282593727111816	0.2322125	Yes	
row_10	KCNN4	628	4.067047595977783	0.24651322	Yes	
row_11	PLEK2	650	4.038712024688721	0.26782364	Yes	
row_12	TSPAN1	674	3.999279260635376	0.28875414	Yes	
row_13	JUP	931	3.6488349437713623	0.2895329	Yes	
row_14	NAP1L2	993	3.567896604537964	0.30505055	Yes	
row_15	TMEM158	998	3.5653445720672607	0.3249964	Yes	
row_16	WDR33	1027	3.531611442565918	0.34287998	Yes	
row_17	KLF4	1147	3.377518892288208	0.35279527	Yes	
row_18	STRN	1188	3.3237464427948	0.36856252	Yes	
row_19	TFPI	1208	3.295192241668701	0.38580427	Yes	
row_20	YRDC	1212	3.291581392288208	0.40427262	Yes	
row_21	NRP1	1347	3.1497838497161865	0.4117248	Yes	
row_22	RBP4	1426	3.064831495285034	0.42305914	Yes	
row_23	ZNF639	1500	3.004512071609497	0.4344404	Yes	
row_24	GADD45G	1571	2.9333996772766113	0.44565147	Yes	
row_25	CDADC1	1801	2.703725576400757	0.44316477	Yes	
row_26	EREG	2056	2.4658091068267822	0.4373777	Yes	
row_27	ENG	2101	2.420016050338745	0.4476983	Yes	
row_28	CBX8	2408	2.182162046432495	0.4362466	No	
row_29	ADAM17	2495	2.0939559936523438	0.44144103	No	
row_30	ST6GAL1	2800	1.7899503707885742	0.42791674	No	
row_31	PPP1R15A	3029	1.6134051084518433	0.41931295	No	
row_32	PLAUR	3162	1.5070284605026245	0.41758722	No	
row_33	PTCD2	3205	1.466334581375122	0.4226451	No	
row_34	G0S2	3208	1.4656801223754883	0.43081692	No	
row_35	USP12	3591	1.1821515560150146	0.40775973	No	
row_36	HDAC9	3729	1.07669198513031	0.4031992	No	
row_37	CTSS	3743	1.0679773092269897	0.40825397	No	
row_38	CBR4	4011	0.8834347724914551	0.39246288	No	
row_39	PLAT	4197	0.7522691488265991	0.3823178	No	
row_40	GNG11	4344	0.6652244925498962	0.37471792	No	
row_41	SDCCAG8	4428	0.6151184439659119	0.3717437	No	
row_42	VWA5A	4642	0.4817960858345032	0.35787946	No	
row_43	FUCA1	4715	0.4376964271068573	0.3547545	No	
row_44	ETV4	5447	0.08927304297685623	0.29828593	No	
row_45	PRKG2	5619	0.03235350176692009	0.28514162	No	
row_46	GLRX	5919	-0.0647919550538063	0.262205	No	
row_47	LAT2	5949	-0.07618783414363861	0.26037756	No	
row_48	TNFAIP3	6052	-0.11649522185325623	0.25308934	No	
row_49	SERPINA3	6069	-0.12357525527477264	0.2525444	No	
row_50	AMMECR1	6220	-0.1840798556804657	0.24189895	No	
row_51	DCBLD2	6355	-0.2430063635110855	0.2328354	No	
row_52	RBM4	6450	-0.28642719984054565	0.22713624	No	
row_53	ID2	6475	-0.299190878868103	0.22696558	No	
row_54	SCN1B	6526	-0.3378540575504303	0.22498809	No	
row_55	BIRC3	6644	-0.39478614926338196	0.21811193	No	
row_56	ANKH	6654	-0.40014588832855225	0.219684	No	
row_57	MMP9	6713	-0.42578092217445374	0.21758257	No	
row_58	AVL9	6942	-0.5540728569030762	0.20295985	No	
row_59	ZNF277	7105	-0.6373984813690186	0.19395478	No	
row_60	ERO1A	7213	-0.704303503036499	0.18961667	No	
row_61	CXCR4	7442	-0.8490468859672546	0.17666996	No	
row_62	HBEGF	7476	-0.8717725872993469	0.1790511	No	
row_63	MMD	7516	-0.8996320366859436	0.1811229	No	
row_64	EPHB2	7770	-1.0743361711502075	0.16750766	No	
row_65	SOX9	7903	-1.1633813381195068	0.1638294	No	
row_66	TNFRSF1B	7992	-1.2224291563034058	0.16391608	No	
row_67	MAP4K1	8246	-1.3767411708831787	0.15201907	No	
row_68	FBXO4	8985	-1.9590119123458862	0.10562838	No	
row_69	CROT	9193	-2.1139471530914307	0.10150538	No	
row_70	TRAF1	9349	-2.228484869003296	0.10208615	No	
row_71	MAP3K1	9445	-2.2965946197509766	0.107730456	No	
row_72	ANGPTL4	10506	-3.1287639141082764	0.042888656	No	
row_73	CBL	10541	-3.162443161010742	0.05820703	No	
row_74	ATG10	10618	-3.2241110801696777	0.070602216	No	
row_75	AKAP12	10949	-3.5325777530670166	0.0649527	No	
row_76	CCSER2	12123	-4.6840291023254395	1.4014693E-4	No	
row_77	MTMR10	12431	-5.096424102783203	0.005168791	No	
row_78	ITGA2	12746	-5.62000036239624	0.012626705	No	
