NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	VPS4B	15	5.830085277557373	0.07878681	Yes	
row_1	CHMP4B	103	5.235205173492432	0.14382474	Yes	
row_2	CHMP2B	175	5.005361080169678	0.2069531	Yes	
row_3	VTA1	299	4.712082862854004	0.26202166	Yes	
row_4	UBAP1	341	4.596306324005127	0.32186994	Yes	
row_5	STAM	932	3.6435022354125977	0.326021	Yes	
row_6	PDCD6IP	1065	3.4937636852264404	0.3636831	Yes	
row_7	VPS36	1213	3.2906649112701416	0.39739522	Yes	
row_8	VPS37B	1454	3.0451931953430176	0.42051944	Yes	
row_9	CHMP2A	1456	3.043292760848999	0.46217635	Yes	
row_10	IST1	1568	2.934574604034424	0.49380064	Yes	
row_11	CHMP1A	1573	2.9324939250946045	0.5337052	Yes	
row_12	VPS25	1777	2.7240822315216064	0.55529886	Yes	
row_13	RAB11A	2570	2.016141653060913	0.52144724	No	
row_14	SNF8	3095	1.5600638389587402	0.50215185	No	
row_15	CHMP4C	3113	1.5476553440093994	0.52205575	No	
row_16	VPS37D	3151	1.5131837129592896	0.53993386	No	
row_17	VPS37C	3337	1.3564503192901611	0.5441701	No	
row_18	VPS28	3724	1.081207275390625	0.52902377	No	
row_19	CHMP7	3773	1.0483914613723755	0.53967375	No	
row_20	CHMP5	4494	0.5721878409385681	0.49161118	No	
row_21	CHMP3	5509	0.07197032868862152	0.41385925	No	
row_22	HGS	6107	-0.13884079456329346	0.36940512	No	
row_23	CHMP1B	6565	-0.35821568965911865	0.33883068	No	
row_24	CHMP4A	7487	-0.8788725137710571	0.2793659	No	
row_25	VPS37A	7983	-1.2149862051010132	0.25759012	No	
row_26	CHMP6	8336	-1.4433495998382568	0.25005022	No	
row_27	MVB12A	8535	-1.6144182682037354	0.2568147	No	
row_28	TSG101	8868	-1.874434471130371	0.2567396	No	
row_29	STAM2	8997	-1.965783715248108	0.27375817	No	
row_30	VPS4A	9280	-2.177431106567383	0.28172082	No	
