NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	VPS4B	15	5.830085277557373	0.05756604	Yes	
row_1	CHMP4B	103	5.235205173492432	0.10354315	Yes	
row_2	CHMP2B	175	5.005361080169678	0.14844841	Yes	
row_3	VTA1	299	4.712082862854004	0.18635754	Yes	
row_4	RAB27B	319	4.6764235496521	0.23199077	Yes	
row_5	UBAP1	341	4.596306324005127	0.27666146	Yes	
row_6	STAM	932	3.6435022354125977	0.26750857	Yes	
row_7	LAPTM4B	1036	3.519695520401001	0.29496014	Yes	
row_8	TMEM50B	1055	3.5046679973602295	0.32886693	Yes	
row_9	VPS36	1213	3.2906649112701416	0.34981415	Yes	
row_10	RILP	1296	3.206273317337036	0.37574056	Yes	
row_11	VPS37B	1454	3.0451931953430176	0.39421493	Yes	
row_12	CHMP2A	1456	3.043292760848999	0.42479515	Yes	
row_13	CHMP1A	1573	2.9324939250946045	0.44532087	Yes	
row_14	TMEM50A	1650	2.8562583923339844	0.4681876	Yes	
row_15	VPS25	1777	2.7240822315216064	0.4858366	Yes	
row_16	SNF8	3095	1.5600638389587402	0.39918974	No	
row_17	CHMP4C	3113	1.5476553440093994	0.41345942	No	
row_18	VPS37D	3151	1.5131837129592896	0.42582732	No	
row_19	VPS37C	3337	1.3564503192901611	0.42511314	No	
row_20	VPS28	3724	1.081207275390625	0.4060036	No	
row_21	CHMP7	3773	1.0483914613723755	0.41283426	No	
row_22	CHMP5	4494	0.5721878409385681	0.362637	No	
row_23	PTPN23	4848	0.36834827065467834	0.33891106	No	
row_24	CHMP3	5509	0.07197032868862152	0.2883381	No	
row_25	LYST	5894	-0.056311581283807755	0.25905928	No	
row_26	HGS	6107	-0.13884079456329346	0.24398041	No	
row_27	UBXN6	6189	-0.16784505546092987	0.2393756	No	
row_28	UVRAG	6412	-0.2700461149215698	0.22484125	No	
row_29	LEPROT	6517	-0.33282577991485596	0.2201108	No	
row_30	CHMP1B	6565	-0.35821568965911865	0.22006641	No	
row_31	CHMP4A	7487	-0.8788725137710571	0.1573361	No	
row_32	VPS37A	7983	-1.2149862051010132	0.1311023	No	
row_33	CHMP6	8336	-1.4433495998382568	0.11828357	No	
row_34	MVB12A	8535	-1.6144182682037354	0.11915772	No	
row_35	TSG101	8868	-1.874434471130371	0.11223621	No	
row_36	STAM2	8997	-1.965783715248108	0.12209068	No	
row_37	VPS4A	9280	-2.177431106567383	0.12210775	No	
row_38	RAB27A	9724	-2.4953508377075195	0.11281392	No	
row_39	RUBCN	9734	-2.4990925788879395	0.13729009	No	
row_40	DENND10	10610	-3.2188894748687744	0.10170828	No	
row_41	VCP	11071	-3.64400315284729	0.102664575	No	
row_42	SORT1	11439	-3.9743237495422363	0.11417687	No	
