NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HMOX1	77	5.353061676025391	0.16470894	Yes	
row_1	NQO1	812	3.806170701980591	0.22913773	Yes	
row_2	EP300	1323	3.1784613132476807	0.29092592	Yes	
row_3	GCLM	1643	2.8630940914154053	0.35747293	Yes	
row_4	NFE2L2	1807	2.6988494396209717	0.43088263	Yes	
row_5	PRDX1	2175	2.3673601150512695	0.47790033	Yes	
row_6	CREBBP	2193	2.352764844894409	0.55159914	Yes	
row_7	TXN	2283	2.288008451461792	0.61764884	Yes	
row_8	GCLC	3169	1.4995678663253784	0.5968203	Yes	
row_9	SOD3	3184	1.4832367897033691	0.6430271	Yes	
row_10	TXNRD1	4711	0.4404134452342987	0.53871083	No	
row_11	ATF4	5768	-0.012210364453494549	0.45719522	No	
row_12	BACH1	6307	-0.22580012679100037	0.42266676	No	
row_13	SLC7A11	6992	-0.5784222483634949	0.38805756	No	
row_14	MAFK	7152	-0.6695601940155029	0.39707407	No	
row_15	SRXN1	8459	-1.5459496974945068	0.34507108	No	
