NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PDCD4	99	5.2428297996521	0.031021755	Yes	
row_1	PARK7	279	4.768937587738037	0.052314743	Yes	
row_2	APP	449	4.4043803215026855	0.07169324	Yes	
row_3	ADAM8	471	4.362879753112793	0.102287166	Yes	
row_4	VAMP8	730	3.9122543334960938	0.11110154	Yes	
row_5	GPRC5B	765	3.8741455078125	0.1370731	Yes	
row_6	TLR4	807	3.813998222351074	0.16205537	Yes	
row_7	GRN	905	3.683872938156128	0.18171676	Yes	
row_8	TNFRSF1A	907	3.6827316284179688	0.20884341	Yes	
row_9	IL6ST	955	3.617265462875366	0.23190531	Yes	
row_10	CD47	982	3.5826590061187744	0.25634646	Yes	
row_11	IL18	1011	3.546921968460083	0.2803679	Yes	
row_12	NAPEPLD	1066	3.4937636852264404	0.30197254	Yes	
row_13	PYCARD	1089	3.4523541927337646	0.3257625	Yes	
row_14	NUPR1	1204	3.300381660461426	0.34126756	Yes	
row_15	DHX9	1222	3.2809770107269287	0.3641808	Yes	
row_16	CASP3	1334	3.17301344871521	0.37897852	Yes	
row_17	ZDHHC5	1486	3.0176186561584473	0.38951427	Yes	
row_18	ZP3	1608	2.900686502456665	0.40152177	Yes	
row_19	CD81	1627	2.8770556449890137	0.4213734	Yes	
row_20	HLA-E	1856	2.6554975509643555	0.4232396	Yes	
row_21	PTGER4	1886	2.622586250305176	0.44035506	Yes	
row_22	LGALS1	2233	2.3246538639068604	0.43059084	No	
row_23	NMI	2784	1.8075083494186401	0.40112478	No	
row_24	NFKBIA	2893	1.7218260765075684	0.40543604	No	
row_25	SETD4	3076	1.5750303268432617	0.40290192	No	
row_26	MDK	3146	1.5149809122085571	0.40872142	No	
row_27	IL15	3254	1.4243842363357544	0.41091332	No	
row_28	ETS1	3597	1.1777448654174805	0.39298823	No	
row_29	OSMR	3754	1.061772346496582	0.3886868	No	
row_30	GPSM3	3807	1.0272917747497559	0.3922272	No	
row_31	CX3CL1	3824	1.015326976776123	0.39848185	No	
row_32	NAIP	4469	0.5907869338989258	0.35270977	No	
row_33	RPS19	4549	0.5392380356788635	0.3505429	No	
row_34	FEM1A	4886	0.34981033205986023	0.3269689	No	
row_35	NFKBIZ	5196	0.19312269985675812	0.30433947	No	
row_36	MAPK13	5214	0.18390995264053345	0.30437455	No	
row_37	SNCA	5380	0.11687000095844269	0.2923924	No	
row_38	TGFB1	5465	0.08496585488319397	0.28648055	No	
row_39	GBP1	5971	-0.08417095243930817	0.24778742	No	
row_40	GBP3	6043	-0.11215624958276749	0.24308847	No	
row_41	KARS1	6053	-0.11722923815250397	0.2432538	No	
row_42	PLCG2	6085	-0.1307627558708191	0.24180634	No	
row_43	CEBPA	6185	-0.16666068136692047	0.23533021	No	
row_44	CASP4	6238	-0.19332264363765717	0.23271002	No	
row_45	ABCC1	6251	-0.19788946211338043	0.23323762	No	
row_46	GBP2	6465	-0.29285940527915955	0.21881866	No	
row_47	MGST2	6956	-0.5591588616371155	0.18480206	No	
row_48	MAP3K8	7067	-0.6166490316390991	0.18079363	No	
row_49	DDT	7350	-0.7857997417449951	0.1646443	No	
row_50	TNIP1	7463	-0.863856315612793	0.1623063	No	
row_51	GSDMD	7466	-0.8664594888687134	0.16855118	No	
row_52	RIPK1	7481	-0.8741569519042969	0.1739187	No	
row_53	IFI35	7938	-1.1850727796554565	0.14717269	No	
row_54	TRADD	8726	-1.7639697790145874	0.09893424	No	
row_55	TNFRSF11A	9035	-1.988094687461853	0.08964219	No	
row_56	IL17RA	9103	-2.0422301292419434	0.099512205	No	
row_57	NINJ1	9780	-2.5359296798706055	0.065617755	No	
row_58	HYAL2	9781	-2.5361273288726807	0.084352255	No	
row_59	SERPINE1	10379	-3.028787136077881	0.06024882	No	
row_60	ZDHHC9	10997	-3.5786004066467285	0.038649853	No	
row_61	CAMK2N1	11108	-3.6725645065307617	0.057215624	No	
row_62	VAMP7	12457	-5.133983135223389	-0.009802958	No	
row_63	SNX4	12880	-6.069568157196045	0.002179984	No	
