NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	F2RL1	3	6.084025859832764	0.103335105	Yes	
row_1	FZD5	236	4.864559173583984	0.16813871	Yes	
row_2	ISG15	639	4.052708625793457	0.20592861	Yes	
row_3	CD276	725	3.9239206314086914	0.26612842	Yes	
row_4	TLR4	807	3.813998222351074	0.32476744	Yes	
row_5	IL18	1011	3.546921968460083	0.36939168	Yes	
row_6	PYCARD	1089	3.4523541927337646	0.4221849	Yes	
row_7	TRIM27	1171	3.3532817363739014	0.4729812	Yes	
row_8	FADD	1446	3.0529744625091553	0.5036867	Yes	
row_9	ZP3	1608	2.900686502456665	0.5405698	Yes	
row_10	CD14	2162	2.3738760948181152	0.538062	Yes	
row_11	JAK2	2355	2.233196258544922	0.5611765	Yes	
row_12	HLA-A	3346	1.3479856252670288	0.5072896	No	
row_13	PDE4D	4511	0.5620794892311096	0.42652026	No	
row_14	IL1R1	4624	0.49115777015686035	0.42618892	No	
row_15	TYK2	5522	0.06777928024530411	0.3577269	No	
row_16	SLC7A5	5870	-0.04624592885375023	0.3315836	No	
row_17	EBI3	6508	-0.3223378658294678	0.2876334	No	
row_18	HSPD1	7545	-0.9224034547805786	0.22293183	No	
row_19	CEBPG	8717	-1.759682297706604	0.16200592	No	
row_20	ZFPM1	8800	-1.819759488105774	0.18661956	No	
row_21	SCRIB	9595	-2.4056668281555176	0.16594902	No	
row_22	BTN3A1	9598	-2.4089860916137695	0.2068018	No	
row_23	BTN3A2	10268	-2.9377169609069824	0.2048895	No	
