NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	F2RL1	3	6.084025859832764	0.12004756	Yes	
row_1	TRIB2	326	4.655169486999512	0.18709704	Yes	
row_2	CD46	589	4.129029750823975	0.24839996	Yes	
row_3	ISG15	639	4.052708625793457	0.32471973	Yes	
row_4	TNFRSF21	708	3.9464783668518066	0.39746523	Yes	
row_5	TLR4	807	3.813998222351074	0.46526405	Yes	
row_6	CD47	982	3.5826590061187744	0.52259284	Yes	
row_7	PYCARD	1089	3.4523541927337646	0.5826213	Yes	
row_8	VSIR	2060	2.4636874198913574	0.5560701	Yes	
row_9	DLL1	2182	2.3582513332366943	0.5933045	Yes	
row_10	HMGB1	2705	1.8858288526535034	0.5900874	No	
row_11	INAVA	4090	0.8285573720932007	0.4990895	No	
row_12	PIBF1	5674	0.014960475265979767	0.37656736	No	
row_13	STAT3	5731	-0.0031802563462406397	0.37228543	No	
row_14	PLCG2	6085	-0.1307627558708191	0.34748292	No	
row_15	THBS1	7003	-0.5848765969276428	0.28789988	No	
row_16	HSPD1	7545	-0.9224034547805786	0.2641619	No	
row_17	AGER	8366	-1.4656999111175537	0.22951844	No	
row_18	JAK3	8700	-1.7455404996871948	0.23819155	No	
row_19	PRKCZ	11912	-4.461880683898926	0.07727512	No	
