NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	BCL10	26	5.667397499084473	0.10470102	Yes	
row_1	ORMDL3	257	4.812483310699463	0.17747638	Yes	
row_2	ADAM8	471	4.362879753112793	0.24310456	Yes	
row_3	PERP	700	3.959733486175537	0.29997763	Yes	
row_4	BCL6	822	3.7927258014678955	0.3620076	Yes	
row_5	IRS2	846	3.754936933517456	0.43092933	Yes	
row_6	CCL5	1141	3.3826839923858643	0.47181582	Yes	
row_7	ZC3H8	1387	3.1091177463531494	0.51135266	Yes	
row_8	FADD	1446	3.0529744625091553	0.56434083	Yes	
row_9	PRELID1	1727	2.771164655685425	0.59479845	Yes	
row_10	FNIP1	1936	2.5745699405670166	0.62714034	Yes	
row_11	NOC2L	2963	1.6665695905685425	0.5789194	No	
row_12	PRKD2	4189	0.7570980191230774	0.49813345	No	
row_13	TSC22D3	4680	0.45584651827812195	0.46870023	No	
row_14	FOXP1	5175	0.20171993970870972	0.4341714	No	
row_15	TP53	5289	0.15487155318260193	0.4283205	No	
row_16	BIRC7	7897	-1.1596848964691162	0.24789211	No	
row_17	JAK3	8700	-1.7455404996871948	0.21853739	No	
row_18	AURKB	8912	-1.908092975616455	0.23809661	No	
row_19	LGALS3	11278	-3.816086769104004	0.1264645	No	
