NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TDG	921	3.655062437057495	-0.04283493	No	
row_1	RPA2	1808	2.697705030441284	-0.09046845	No	
row_2	NEIL1	3121	1.536057949066162	-0.18031044	No	
row_3	PNKP	3409	1.3047010898590088	-0.19235738	No	
row_4	APEX1	4300	0.6907027959823608	-0.25606027	No	
row_5	POLD4	4791	0.3924431800842285	-0.2910371	No	
row_6	POLE4	7771	-1.0760794878005981	-0.51396656	No	
row_7	POLB	8064	-1.2680822610855103	-0.52668935	No	
row_8	PARP1	8344	-1.4494041204452515	-0.5369787	No	
row_9	RFC3	9057	-2.006896734237671	-0.5765218	No	
row_10	NTHL1	9783	-2.5371570587158203	-0.61291105	No	
row_11	RPA3	9801	-2.548976182937622	-0.59421724	No	
row_12	MPG	10536	-3.155984878540039	-0.6264466	Yes	
row_13	RFC5	10660	-3.2588202953338623	-0.6104122	Yes	
row_14	MBD4	10817	-3.4112157821655273	-0.5957443	Yes	
row_15	POLD3	10910	-3.5008294582366943	-0.5754019	Yes	
row_16	NEIL2	11130	-3.6871402263641357	-0.56346065	Yes	
row_17	FEN1	11180	-3.729623556137085	-0.537982	Yes	
row_18	SMUG1	11675	-4.2119832038879395	-0.543279	Yes	
row_19	RPA1	11901	-4.452695846557617	-0.5257928	Yes	
row_20	OGG1	12275	-4.873013019561768	-0.5165014	Yes	
row_21	POLD1	12366	-5.004165172576904	-0.4841997	Yes	
row_22	POLE2	12472	-5.153558254241943	-0.45189002	Yes	
row_23	POLD2	12519	-5.212530136108398	-0.41453475	Yes	
row_24	POLE	12537	-5.235205173492432	-0.37474903	Yes	
row_25	LIG1	12548	-5.256746292114258	-0.33425048	Yes	
row_26	PARP2	12663	-5.453294277191162	-0.30028632	Yes	
row_27	POLE3	12747	-5.62000036239624	-0.26260546	Yes	
row_28	XRCC1	12763	-5.699872970581055	-0.21901587	Yes	
row_29	RFC2	12777	-5.753368854522705	-0.17485091	Yes	
row_30	RFC4	12782	-5.753368854522705	-0.12998693	Yes	
row_31	PCNA	12816	-5.828091144561768	-0.08678866	Yes	
row_32	LIG3	12836	-5.8594970703125	-0.042256422	Yes	
row_33	RFC1	12889	-6.084025859832764	0.0014756838	Yes	
