NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
DNA REPLICATION%GOBP%GO:0006260	DNA REPLICATION%GOBP%GO:0006260	Details ...	143	-0.5886865	-2.5204525	0.0	0.0	0.0	3215	tags=62%, list=25%, signal=81%	
DNA-TEMPLATED DNA REPLICATION%GOBP%GO:0006261	DNA-TEMPLATED DNA REPLICATION%GOBP%GO:0006261	Details ...	118	-0.5985954	-2.5160377	0.0	0.0	0.0	2614	tags=58%, list=20%, signal=72%	
ACTIVATION OF THE PRE-REPLICATIVE COMPLEX%REACTOME%R-HSA-68962.6	ACTIVATION OF THE PRE-REPLICATIVE COMPLEX%REACTOME%R-HSA-68962.6	Details ...	32	-0.7330994	-2.44911	0.0	0.0	0.0	1621	tags=66%, list=13%, signal=75%	
DNA STRAND ELONGATION INVOLVED IN DNA REPLICATION%GOBP%GO:0006271	DNA STRAND ELONGATION INVOLVED IN DNA REPLICATION%GOBP%GO:0006271	Details ...	15	-0.8774069	-2.4023554	0.0	0.0	0.0	391	tags=80%, list=3%, signal=82%	
DNA REPLICATION%WIKIPATHWAYS_20250210%WP466%HOMO SAPIENS	DNA REPLICATION%WIKIPATHWAYS_20250210%WP466%HOMO SAPIENS	Details ...	30	-0.7307457	-2.389515	0.0	0.0	0.0	1621	tags=67%, list=13%, signal=76%	
DNA STRAND ELONGATION%REACTOME%R-HSA-69190.4	DNA STRAND ELONGATION%REACTOME%R-HSA-69190.4	Details ...	32	-0.73268175	-2.3885443	0.0	0.0	0.0	544	tags=63%, list=4%, signal=65%	
G1 S-SPECIFIC TRANSCRIPTION%REACTOME%R-HSA-69205.5	G1 S-SPECIFIC TRANSCRIPTION%REACTOME%R-HSA-69205.5	Details ...	27	-0.74199283	-2.385447	0.0	0.0	0.0	1664	tags=59%, list=13%, signal=68%	
DNA-TEMPLATED DNA REPLICATION MAINTENANCE OF FIDELITY%GOBP%GO:0045005	DNA-TEMPLATED DNA REPLICATION MAINTENANCE OF FIDELITY%GOBP%GO:0045005	Details ...	54	-0.6318689	-2.336452	0.0	0.0	0.0	2614	tags=65%, list=20%, signal=81%	
RETINOBLASTOMA GENE IN CANCER%WIKIPATHWAYS_20250210%WP2446%HOMO SAPIENS	RETINOBLASTOMA GENE IN CANCER%WIKIPATHWAYS_20250210%WP2446%HOMO SAPIENS	Details ...	61	-0.6108784	-2.307436	0.0	0.0	0.0	2022	tags=51%, list=16%, signal=60%	
DNA REPLICATION INITIATION%GOBP%GO:0006270	DNA REPLICATION INITIATION%GOBP%GO:0006270	Details ...	24	-0.7284491	-2.3048983	0.0	0.0	0.0	1086	tags=54%, list=8%, signal=59%	
INTERSTRAND CROSS-LINK REPAIR%GOBP%GO:0036297	INTERSTRAND CROSS-LINK REPAIR%GOBP%GO:0036297	Details ...	39	-0.6464166	-2.228313	0.0	2.041085E-4	0.003	3022	tags=67%, list=23%, signal=87%	
