NAME	TITLE	SCORE	
DDR2		6.4105206	
PHKG1		6.328583	
LOC101928465		6.084026	
F2RL1		6.084026	
PARD6B		6.084026	
DGCR11		6.000459	
GUCA1B		5.987586	
GRB2		5.9660935	
GNPNAT1		5.9529905	
SAT1		5.934665	
CSGALNACT2		5.889895	
MYLK2		5.860535	
MAPK6		5.859497	
HUS1		5.832882	
GEM		5.8300853	
VPS4B		5.8300853	
LSG1		5.8300853	
SSU72		5.8291745	
SPTY2D1		5.8221116	
C1orf109		5.809882	
FLVCR1		5.809582	
THSD4		5.809582	
METTL16		5.8016915	
SMIM15		5.8016915	
RSRP1		5.753369	
XPNPEP3		5.741661	
BCL10		5.6673975	
SETD7		5.642477	
PDRG1		5.6200004	
SPEN		5.6001883	
LOC729603		5.592252	
GLCE		5.587373	
SATB2		5.587142	
SYNGR2		5.581375	
IL6R		5.5730023	
SGCB		5.5730023	
TWISTNB		5.550733	
GPRC5A		5.546429	
ATP6V1A		5.534947	
BTN2A1		5.526014	
SLC4A7		5.5124307	
LHFPL2		5.4939046	
B4GALT5		5.4939046	
ZNF317		5.4939046	
TMEM26		5.4939046	
UGCG		5.4939046	
GOLT1B		5.4927835	
FAM49B		5.491246	
MINPP1		5.491246	
RRAGC		5.491246	
RNF169		5.491246	
IGFBP6		5.48958	
ZBED6		5.467352	
ADIRF		5.447714	
GADD45A		5.4467244	
TOB1		5.446608	
SBNO1		5.440277	
H2BC12		5.4397845	
ATP6V1E1		5.4360976	
PRPF39		5.420162	
SLC36A1		5.419499	
GALK2		5.415433	
SNHG1		5.412876	
ZNF462		5.412876	
FAM133B		5.412348	
ETV3		5.3859115	
PPARG		5.38112	
LOC100288123		5.38112	
GNPDA1		5.38112	
MBNL1		5.38112	
FAM98A		5.38112	
MORF4L2		5.38112	
C5orf15		5.3782616	
ADRB1		5.362734	
FRMD6		5.362734	
CHRNA10		5.359669	
C5orf51		5.355702	
HMOX1		5.3530617	
DCUN1D3		5.3530617	
SMG7		5.3440022	
PNISR		5.324437	
PPP4R3A		5.324437	
SAP18		5.324437	
ARCN1		5.324437	
TRIM4		5.317926	
TBPL1		5.30792	
IFFO2		5.307706	
NUDT21		5.307706	
FMR1		5.3	
ZNF557		5.2918773	
MED10		5.2918773	
ZNF28		5.285687	
TCF7L2		5.284938	
LAMP2		5.2763424	
LIN7C		5.2763424	
RNF145		5.271056	
CPA4		5.2578583	
SMN1		5.2529817	
MRRF		5.249019	
PDCD4		5.24283	
FOXJ3		5.240794	
STOM		5.240794	
HMGB3		5.2385306	
CHMP4B		5.235205	
RAE1		5.229677	
OASL		5.225187	
LATS2		5.214533	
PTPN4		5.214533	
ROR1		5.213131	
ZNF468		5.209607	
NAA50		5.2010827	
NSRP1		5.200269	
RHOA		5.196725	
FAM133DP		5.1952095	
RP2		5.1944184	
LSMEM1		5.1883	
SNRPB2		5.184692	
SON		5.177322	
MORC3		5.168931	
CEBPZ		5.161321	
HOXC13		5.157899	
TFIP11		5.154478	
CCDC50		5.1535583	
TNRC6B		5.1535583	
RND3		5.1535583	
YWHAG		5.151703	
PCDHAC2		5.151703	
RBM27		5.1399593	
ZDHHC20		5.1385202	
AKIRIN1		5.1378207	
LATS1		5.133336	
GOPC		5.1327167	
RTN4		5.131662	
C19orf12		5.1314607	
SF3B4		5.1283836	
ZYX		5.1268535	
RPRD1A		5.1268535	
ALAS1		5.1268535	
PSMD7		5.1206913	
NIFK		5.11293	
SLC30A1		5.1028385	
POLDIP3		5.102143	
ZNF702P		5.102143	
C1orf52		5.1013045	
ARSK		5.0979576	
CFAP97		5.0882077	
WLS		5.0882077	
ZFAND5		5.0882077	
ARMC1		5.0882077	
SCAMP2		5.086146	
RNF38		5.080082	
TOR1AIP2		5.076808	
PNPO		5.0684495	
THAP9-AS1		5.0684495	
ADD1		5.0684495	
GNG5		5.0602055	
NCOA6		5.0573807	
IFI6		5.0573807	
GHITM		5.0564585	
SHOC2		5.05536	
PLXNB3		5.046059	
CDC42SE2		5.044244	
DNAJC9-AS1		5.035107	
RAB7A		5.029825	
LRIF1		5.029825	
ODR4		5.025762	
HNRNPLL		5.025762	
SYPL1		5.025762	
NUDCD3		5.0129185	
TBX19		5.0129185	
SPR		5.012863	
ZUP1		5.010084	
RPF1		5.0093365	
GTF2B		5.008679	
VPS26C		5.0074086	
CHMP2B		5.005361	
SPRY4		5.0003304	
ITPRIP		4.996611	
SEC24A		4.993239	
POFUT2		4.9883337	
YY2		4.9856157	
ATG12		4.9855514	
LARP6		4.9849153	
CCDC117		4.980827	
IFT57		4.9765553	
CBLL1		4.973894	
FOXN2		4.9668245	
HDGF		4.9668245	
PATL1		4.9668245	
QSER1		4.9668245	
PIKFYVE		4.966766	
SYT1		4.9622483	
THY1		4.95896	
MTHFD2L		4.9586496	
PNO1		4.956503	
TAMM41		4.9535346	
YWHAB		4.9464226	
ATF1		4.9421	
SOX13		4.932504	
KIF3A		4.928336	
ZFAS1		4.925342	
SUSD5		4.925342	
DSC2		4.916142	
ZC3H13		4.916142	
RAB2A		4.916142	
YIPF5		4.916142	
GAREM1		4.9141364	
CDKN2AIP		4.912692	
UBOX5		4.9115896	
TMEM242		4.9064136	
STX1A		4.9041095	
DNAJC27		4.9026456	
ARMCX6		4.9026456	
RAB4A		4.9026456	
DCAF1		4.899317	
IPPK		4.899317	
AMMECR1L		4.8959885	
SRRM1		4.895702	
MCU		4.890246	
PHAX		4.890246	
RBAK		4.887082	
PLIN3		4.886031	
TAF13		4.885959	
MUL1		4.8842077	
UEVLD		4.8840423	
PRELID3B		4.883441	
MKRN2		4.883164	
RP9P		4.883164	
SPPL3		4.881874	
TMEM171		4.873013	
CFDP1		4.8720603	
NEDD4		4.8652625	
FAM217B		4.864559	
TMEM70		4.864559	
LHX1		4.864559	
EXOC8		4.864559	
FZD5		4.864559	
ANKRD10		4.864559	
ZNF622		4.864559	
TMEM127		4.864559	
PLK3		4.864559	
MID1		4.85406	
